Name	Comment	Designator	Quantity	Mouser order code	Farnell order code	TME order code
DRV8243HQRXYRQ1	Motor/Motion/Ignition Controllers & Drivers Automotive 40-V, 12-A H-Bridge driver with integrated current sensing and feedback	U3, U5, U8	3	595-DRV8243HQRXYRQ1		
10118193-0001LF	USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole	J9	1	649-10118193-0001LF	2751675	10118193-0001LF/C
CM1223-02SO	Industry First Low Capacitance ESD Protection Arrays with Backdrive Protection, 5-Pin SOT- 23	U4	1	748-CM1223-02SO	3607672	CM1223-02SO
STM32G441KBT6	ARM MCU, STM32 Family STM32G4 Series Microcontrollers, ARM Cortex-M4F, 32 bit, 170 MHz, 128 KB	U1	1	511-STM32G441KBT6	3132413	
MAX14930DASE+	Digital Isolator, 4 Channel, 38.2 ns, 1.71 V, 5.5 V, NSOIC, 16 Pins	U2, U7	2	700-MAX14930DASE+	3257451	
Micro-Match 215079-4	PCB Receptacle, Board-to-Board, 1.27 mm, 2 Rows, 4 Contacts, Through Hole Mount, Micro-MaTch	J3, J4, J2, J6	4	571-215079-4	1772996	7-215079-4
FTSH-105-XX-X-DV	"Connector Header Surface Mount 10 position 0.050"" (1.27mm)"	J1	1	200-FTSH10501LDVK	3550960	
BUK6Y10-30P	Power MOSFET, P Channel, 40 V, 39 A, 0.019 ohm, LFPAK56, Surface Mount	Q1	1	771-BUK6Y10-30PX	3438512	BUK6Y10-30PX
NCP164CSN330T1G	LDO Voltage Regulators LDO 300mA AD 3.3V	U9	1	863-NCP164CSN330T1G	3367831	NCP164CSN330T1G
NCV8730ASN500T1G	LDO Regulator, 150 mA, 38V, 1 A IQ, with PG	U6	1	863-NCV8730ASN500T1G	3463974	
10k 0603	SMD Resistor	R1, R5, R10	3	652-CR0603-JW-103ELF	2008360	RC0603FR-1310KL
1k 0603	SMD Resistor	R2	1	652-CR0603FX-1001ELF	2447272	AR0603-1K-0.1%
2.7k 0603	SMD Resistor	R3, R11, R6	3	667-ERJ-UP3J272V	9238530	0603SAJ0272T5E
100k 0603	SMD Resistor	R12, R13, R14	3	667-ERJ-3EKF1003V	2309107	AR0603-100K-0.1%
0.1 uF 0603	SMD Capacitor	C13, C7, C2, C8, C4, C9, C10, C3, C1, C5, C6	11	80-C603C104K5RAC3121	1650835	06033C104JAT2A
 1 uF 0603	SMD Capacitor	C11, C12, C14, C15	4	581-06035C105KAT2A	2118128	C0603C105K3PAC
10 uF 0805	SMD Capacitor	C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32	15	581-08053D106KAT4A	2346927	C2012X5R1E106KAB
